,id,REACTANT,PRODUCT,REAGENT,SOLVENT,CATALYST,YIELD
0,ord-c2af606677024e008e8fb05d402e9b3b,B1C2CCCC1CCC2.C=CC1CCN(C(=O)OC(C)(C)C)C1.ClCCl.FC1(F)Oc2ccc(Br)cc2O1.N#N.O=C([O-])[O-].[K+].[K+].[Na+].[OH-],CC(C)(C)OC(=O)N1CCC(CCc2ccc3c(c2)OC(F)(F)O3)C1,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CN(C)C=O.O.O,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,0.98
1,ord-96c71ebfff6c4ee8bb6a5aa2960c2ba3,Brc1cncc(I)c1.C#C[Si](C)(C)C,C[Si](C)(C)C#Cc1cncc(Br)c1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CC#N.CCN(CC)CC,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,0.99
2,ord-6e64400b2c7a4e9a8789b9e79cfcee25,Brc1ccc(-c2nc3ccccc3o2)nc1.CC1(C)OB(c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)nc2)OC1(C)C.O.O=C([O-])[O-].[Na+].[Na+],c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5nc6ccccc6o5)nc4)cn3)cc2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1CCOC1.CC(C)=O.ClCCl.ClCCl,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0.77
3,ord-b77f09a6bfcb449c8320355cea96234a,Brc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(=O)[O-].CC(=O)[O-].CCN(CC)CC.[Pd+2],C1CCOC1.CC#N.CCc1cc(CC)cc(CC)c1.CCc1cccc(CC)c1.CN(C)C=O.Cc1ccccc1.O,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(=O)[O-].CC(=O)[O-].[Pd+2],0.13
4,ord-a78f05158222489f8516262e16c2e1d4,CC=CCOc1ccc(Cl)cc1I.CCCC[NH3+].O=C([O-])[O-].O=C[O-].[Cl-].[Na+].[Na+].[Na+],CCc1coc2ccc(Cl)cc12,CC(=O)[O-].CC(=O)[O-].[Pd+2],CN(C)C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],0.6
5,ord-5dee9b14e71f4696a55160a9b199f823,COC(=O)[C@@H]1CCCN1C[C@@H](CO)NC(=O)OCc1ccccc1.[H][H],O=C1N[C@H](CO)CN2CCC[C@@H]12,[Pd],CO.CO,[Pd],0.85
6,ord-414cb258bf5f49a68600ff46cab8a198,Cc1nc2ccccc2[nH]1.ClCCCCBr.[Na+].[OH-],Cc1nc2ccccc2n1CCCCCl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],ClCCl.ClCCl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],0.62
7,ord-89b9b02c63de42c69f3741b8d60df759,Brc1ccc(-c2ccc3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c3c2)cc1.CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)[O-].[Na+].c1ccc2c(c1)[nH]c1ccc(-c3cccc4c3oc3ccccc34)cc12,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3cc(-c4ccc(-n5c6ccccc6c6cc(-c7cccc8c7oc7ccccc78)ccc65)cc4)ccc23)cc1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd],CCCCCC.Cc1ccccc1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd],0.71
8,ord-79ba34c3a2a842aeac9844c9adfd81cd,C1COCCO1.CS(=O)(=O)c1ncc(OCC2CC2)c(Cl)n1.Cn1cc(B2OC(C)(C)C(C)(C)O2)c2c(c1=O)CCCC2.O.O=P([O-])([O-])[O-].[K+].[K+].[K+],Cn1cc(-c2nc(S(C)(=O)=O)ncc2OCC2CC2)c2c(c1=O)CCCC2,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CCOC(C)=O,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,0.67
9,ord-ff39310cbf9b4ffeae75d7f1c5107b64,COC(=O)c1cc2c(cc1[N+](=O)[O-])OCCO2.NN.O,COC(=O)c1cc2c(cc1N)OCCO2,[Pd],CO.CO,[Pd],0.5
